mean,std,max_depth,min_samples_split,criterion,threshold,training_size,n_options
0.7729189515765976,0.0382274165834859,8,2,friedman_mse,45.1672,0.1,32
0.7988597466639571,0.04770295722177037,8,2,friedman_mse,58.1726,0.1,32
0.49999484163829566,2.306889484678954e-05,8,2,friedman_mse,22.464,0.2,32
0.5221486966535492,0.09002729902337876,8,2,friedman_mse,23.3968,0.2,32
0.9154103741704107,0.005831387887575568,8,2,friedman_mse,30.396,0.2,32
0.7932182394480619,0.03706305947733809,8,2,friedman_mse,45.1672,0.2,32
0.7836213221317518,0.047808310159877826,8,2,friedman_mse,58.1726,0.2,32
0.5,0.0,8,2,friedman_mse,22.464,0.5,32
0.502185695977891,0.00258783015141315,8,2,friedman_mse,23.3968,0.5,32
0.9136560347621284,0.0060789636867504765,8,2,friedman_mse,30.396,0.5,32
0.8050441325006364,0.030448627435498025,8,2,friedman_mse,45.1672,0.5,32
0.7854542391199322,0.03522749296113811,8,2,friedman_mse,58.1726,0.5,32
0.5,0.0,8,2,friedman_mse,22.464,0.7,32
0.5018643017352831,0.0017933608426393562,8,2,friedman_mse,23.3968,0.7,32
0.9138753766881766,0.005621774722483169,8,2,friedman_mse,30.396,0.7,32
0.805880507566642,0.022523385899336782,8,2,friedman_mse,45.1672,0.7,32
0.7713815516356479,0.031171547105149335,8,2,friedman_mse,58.1726,0.7,32
0.5,0.0,8,5,mse,22.464,0.1,32
0.5804793911415989,0.16411516019032732,8,5,mse,23.3968,0.1,32
0.9074518348815934,0.009686400942657346,8,5,mse,30.396,0.1,32
0.7970515120972661,0.03874000620283311,8,5,mse,45.1672,0.1,32
0.7739327573837812,0.036463373121152776,8,5,mse,58.1726,0.1,32
0.5,0.0,8,5,mse,22.464,0.2,32
0.521438095414948,0.0895300829252638,8,5,mse,23.3968,0.2,32
0.9105264928282845,0.008282325799185062,8,5,mse,30.396,0.2,32
0.8091546641876464,0.026414364744136425,8,5,mse,45.1672,0.2,32
0.7834597381900313,0.03556697673674149,8,5,mse,58.1726,0.2,32
0.5,0.0,8,5,mse,22.464,0.5,32
0.501774188282168,0.002178148938149673,8,5,mse,23.3968,0.5,32
0.9155233528217144,0.006531655484937134,8,5,mse,30.396,0.5,32
0.8075749954728808,0.030595971548989846,8,5,mse,45.1672,0.5,32
0.7728847798273224,0.03356751273386119,8,5,mse,58.1726,0.5,32
0.5,0.0,8,5,mse,22.464,0.7,32
0.5017085568462991,0.0022817585588503966,8,5,mse,23.3968,0.7,32
0.9115195157239695,0.006594427911764896,8,5,mse,30.396,0.7,32
0.8036372862793566,0.0410244557335401,8,5,mse,45.1672,0.7,32
0.7646557587123691,0.03544012792822778,8,5,mse,58.1726,0.7,32
