max_depth,min_samples_split,criterion,n_options,training_size,threshold,gap,mean
8,2,mse,9468,0.9,31443996,max,0.4997872489607759
8,2,mse,9468,0.9,31443996,max,0.4995666102879608
8,2,mse,9468,0.9,31443996,max,0.499689359454901
8,2,mse,9468,0.9,31443996,max,0.5003447342192303
8,2,mse,9468,0.9,31443996,max,0.4994392983245711
8,2,mse,9468,0.9,31443996,mean,0.8078133800420502
8,2,mse,9468,0.9,31443996,mean,0.8076649504095563
8,2,mse,9468,0.9,31443996,mean,0.8088404054927792
8,2,mse,9468,0.9,31443996,mean,0.8082944164664216
8,2,mse,9468,0.9,31443996,mean,0.801122499224153
8,2,mse,9468,0.9,31443996,half_mean,0.7827253587042531
8,2,mse,9468,0.9,31443996,half_mean,0.7768545714130741
8,2,mse,9468,0.9,31443996,half_mean,0.8662467199271568
